name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Spokane, WA",2022-01-19,38,34.1,35.4,38,31.1,35,33.6,92.9,0,0,,"rain,snow",0,5.1,12.3,4.4,70,1027.6,89.3,3.7,12.8,1.2,1,10,2022-01-19T07:30:16,2022-01-19T16:31:09,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-20,39.1,31.8,36.1,35.5,25,31.6,34.5,93.8,0.54,100,,"rain,snow",0,4.9,24.6,10.3,181.7,1022.5,95.1,5.3,9.5,0.8,1,10,2022-01-20T07:29:24,2022-01-20T16:32:37,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-21,37.8,29.1,32.2,32.6,23.6,29.4,29.3,89.2,0,0,,,0,4.5,12.5,9.2,171.9,1032.5,46.8,8.7,28.7,2.4,1,10,2022-01-21T07:28:30,2022-01-21T16:34:05,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-22,34.2,26.2,29.9,34.1,26.2,29.8,28.2,93.3,0,0,,rain,0,4.4,7.8,3.1,33.5,1035.2,64.7,2.2,23,1.9,1,10,2022-01-22T07:27:34,2022-01-22T16:35:35,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-23,31.5,27.9,29.6,31.5,22.4,28.8,28.5,95.5,0,0,,"rain,freezingrain",0,4.4,10.3,5.9,36,1030.2,75.3,1.5,16.3,1.4,1,10,2022-01-23T07:26:35,2022-01-23T16:37:05,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-24,30.4,28.1,29.4,30.4,20.7,27.8,27.2,91.5,0,0,,"freezingrain,snow",0.2,4.3,8.7,7.2,156.7,1026.4,89.8,4.3,13.4,1.2,1,10,2022-01-24T07:25:34,2022-01-24T16:38:36,0.7,Partially cloudy,Partly cloudy throughout the day.,snow,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-25,32.2,28,30.2,32.1,22.3,27.9,26.9,87.6,0,0,,"freezingrain,snow",0,4.4,6.9,7.5,138.6,1030.3,95.1,6.6,8.8,0.7,1,10,2022-01-25T07:24:31,2022-01-25T16:40:07,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-26,31.7,29.9,30.7,31,25.7,28.8,26.2,83.3,0,0,,snow,0.1,4.4,7.2,5.3,140.7,1029.5,100,9.5,10.4,1,0,10,2022-01-26T07:23:26,2022-01-26T16:41:39,0.81,Overcast,Cloudy skies throughout the day.,snow,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-27,35.7,22.9,29.1,35.7,21,27.1,23.1,78.6,0,0,,,0.1,4.1,8.3,5.5,146.9,1037.8,30.2,9.8,35.2,3,2,10,2022-01-27T07:22:18,2022-01-27T16:43:12,0.86,Partially cloudy,Partly cloudy throughout the day.,snow,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
"Spokane, WA",2022-01-28,31.4,20.5,24.9,31.4,16.4,23.8,21.5,86.9,0,0,,,0,4,7.8,5.5,139.7,1035.1,49.2,6.4,31.8,2.7,2,10,2022-01-28T07:21:09,2022-01-28T16:44:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
